Soloist time: 24.52, Estimated time: 23.59, Accompanist time: 23.73, Playback rate: 1.12, Fuzzy membership: positive_small
Soloist time: 24.71, Estimated time: 23.59, Accompanist time: 23.90, Playback rate: 0.93, Fuzzy membership: positive_small
Soloist time: 24.89, Estimated time: 23.59, Accompanist time: 24.04, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 25.08, Estimated time: 24.15, Accompanist time: 24.20, Playback rate: 0.86, Fuzzy membership: positive_small
Soloist time: 25.26, Estimated time: 24.33, Accompanist time: 24.41, Playback rate: 1.11, Fuzzy membership: positive_small
Soloist time: 25.45, Estimated time: 24.52, Accompanist time: 24.63, Playback rate: 1.20, Fuzzy membership: positive_small
Soloist time: 25.63, Estimated time: 24.71, Accompanist time: 24.86, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 25.82, Estimated time: 24.89, Accompanist time: 25.08, Playback rate: 1.20, Fuzzy membership: positive_small
Soloist time: 26.01, Estimated time: 25.08, Accompanist time: 25.30, Playback rate: 1.15, Fuzzy membership: positive_small
Soloist time: 26.19, Estimated time: 25.08, Accompanist time: 25.45, Playback rate: 0.84, Fuzzy membership: positive_small
Soloist time: 26.38, Estimated time: 25.63, Accompanist time: 25.66, Playback rate: 1.10, Fuzzy membership: zero
Soloist time: 26.56, Estimated time: 25.82, Accompanist time: 25.88, Playback rate: 1.21, Fuzzy membership: positive_small
Soloist time: 26.75, Estimated time: 25.82, Accompanist time: 26.09, Playback rate: 1.11, Fuzzy membership: positive_small
Soloist time: 26.94, Estimated time: 26.01, Accompanist time: 26.26, Playback rate: 0.94, Fuzzy membership: positive_small
Soloist time: 27.12, Estimated time: 26.19, Accompanist time: 26.42, Playback rate: 0.86, Fuzzy membership: positive_small
Soloist time: 27.31, Estimated time: 26.38, Accompanist time: 26.58, Playback rate: 0.84, Fuzzy membership: positive_small
Soloist time: 27.49, Estimated time: 26.56, Accompanist time: 26.74, Playback rate: 0.86, Fuzzy membership: positive_small
Soloist time: 27.68, Estimated time: 26.75, Accompanist time: 26.90, Playback rate: 0.90, Fuzzy membership: positive_small
Soloist time: 27.86, Estimated time: 26.94, Accompanist time: 27.09, Playback rate: 0.98, Fuzzy membership: positive_small
Soloist time: 28.05, Estimated time: 27.12, Accompanist time: 27.28, Playback rate: 1.06, Fuzzy membership: positive_small
Soloist time: 28.24, Estimated time: 27.31, Accompanist time: 27.48, Playback rate: 1.08, Fuzzy membership: positive_small
Soloist time: 28.42, Estimated time: 27.49, Accompanist time: 27.68, Playback rate: 1.08, Fuzzy membership: positive_small
Soloist time: 28.61, Estimated time: 27.68, Accompanist time: 27.88, Playback rate: 1.05, Fuzzy membership: positive_small
Soloist time: 28.79, Estimated time: 27.86, Accompanist time: 28.07, Playback rate: 1.01, Fuzzy membership: positive_small
Soloist time: 28.98, Estimated time: 28.05, Accompanist time: 28.25, Playback rate: 0.96, Fuzzy membership: positive_small
Soloist time: 29.16, Estimated time: 28.05, Accompanist time: 28.39, Playback rate: 0.76, Fuzzy membership: positive_small
Soloist time: 29.35, Estimated time: 28.42, Accompanist time: 28.55, Playback rate: 0.85, Fuzzy membership: positive_small
Soloist time: 29.54, Estimated time: 28.42, Accompanist time: 28.69, Playback rate: 0.77, Fuzzy membership: positive_small
Soloist time: 29.72, Estimated time: 28.42, Accompanist time: 28.82, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 29.91, Estimated time: 28.79, Accompanist time: 28.96, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 30.09, Estimated time: 28.98, Accompanist time: 29.11, Playback rate: 0.79, Fuzzy membership: positive_small
Soloist time: 30.28, Estimated time: 28.98, Accompanist time: 29.25, Playback rate: 0.74, Fuzzy membership: positive_small
Soloist time: 30.46, Estimated time: 29.35, Accompanist time: 29.42, Playback rate: 0.94, Fuzzy membership: positive_small
Soloist time: 30.65, Estimated time: 29.54, Accompanist time: 29.63, Playback rate: 1.14, Fuzzy membership: positive_small
Soloist time: 30.84, Estimated time: 29.72, Accompanist time: 29.86, Playback rate: 1.20, Fuzzy membership: positive_small
Soloist time: 31.02, Estimated time: 29.91, Accompanist time: 30.08, Playback rate: 1.21, Fuzzy membership: positive_small
Soloist time: 31.21, Estimated time: 30.09, Accompanist time: 30.30, Playback rate: 1.17, Fuzzy membership: positive_small
Soloist time: 31.39, Estimated time: 30.09, Accompanist time: 30.46, Playback rate: 0.87, Fuzzy membership: positive_small
Soloist time: 31.58, Estimated time: 30.09, Accompanist time: 30.60, Playback rate: 0.73, Fuzzy membership: positive_large
Soloist time: 31.76, Estimated time: 30.09, Accompanist time: 30.72, Playback rate: 0.69, Fuzzy membership: positive_large
Soloist time: 31.95, Estimated time: 30.09, Accompanist time: 30.81, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 32.14, Estimated time: 30.09, Accompanist time: 30.90, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 32.32, Estimated time: 30.28, Accompanist time: 30.98, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 32.51, Estimated time: 30.46, Accompanist time: 31.07, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 32.69, Estimated time: 30.65, Accompanist time: 31.15, Playback rate: 0.46, Fuzzy membership: positive_large
Soloist time: 32.88, Estimated time: 30.65, Accompanist time: 31.24, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 33.07, Estimated time: 30.84, Accompanist time: 31.33, Playback rate: 0.47, Fuzzy membership: positive_large
Soloist time: 33.25, Estimated time: 31.02, Accompanist time: 31.44, Playback rate: 0.60, Fuzzy membership: positive_large
Soloist time: 33.44, Estimated time: 31.21, Accompanist time: 31.57, Playback rate: 0.71, Fuzzy membership: positive_small
Soloist time: 33.62, Estimated time: 31.39, Accompanist time: 31.71, Playback rate: 0.74, Fuzzy membership: positive_small
Soloist time: 33.81, Estimated time: 32.14, Accompanist time: 31.93, Playback rate: 1.18, Fuzzy membership: negative_small
Soloist time: 33.99, Estimated time: 32.14, Accompanist time: 32.16, Playback rate: 1.24, Fuzzy membership: zero
Soloist time: 34.18, Estimated time: 32.14, Accompanist time: 32.39, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 34.37, Estimated time: 32.32, Accompanist time: 32.62, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 34.55, Estimated time: 33.62, Accompanist time: 32.91, Playback rate: 1.57, Fuzzy membership: negative_large
Soloist time: 34.74, Estimated time: 33.81, Accompanist time: 33.20, Playback rate: 1.59, Fuzzy membership: negative_large
Soloist time: 34.92, Estimated time: 33.81, Accompanist time: 33.50, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 35.11, Estimated time: 33.99, Accompanist time: 33.80, Playback rate: 1.59, Fuzzy membership: negative_small
Soloist time: 35.29, Estimated time: 34.18, Accompanist time: 34.09, Playback rate: 1.58, Fuzzy membership: negative_small
Soloist time: 35.48, Estimated time: 34.37, Accompanist time: 34.38, Playback rate: 1.57, Fuzzy membership: zero
Soloist time: 35.67, Estimated time: 34.55, Accompanist time: 34.63, Playback rate: 1.34, Fuzzy membership: positive_small
Soloist time: 35.85, Estimated time: 34.74, Accompanist time: 34.86, Playback rate: 1.24, Fuzzy membership: positive_small
Soloist time: 36.04, Estimated time: 34.92, Accompanist time: 35.09, Playback rate: 1.23, Fuzzy membership: positive_small
Soloist time: 36.22, Estimated time: 35.11, Accompanist time: 35.29, Playback rate: 1.11, Fuzzy membership: positive_small
Soloist time: 36.41, Estimated time: 35.29, Accompanist time: 35.46, Playback rate: 0.91, Fuzzy membership: positive_small
Soloist time: 36.59, Estimated time: 35.29, Accompanist time: 35.60, Playback rate: 0.73, Fuzzy membership: positive_small
Soloist time: 36.78, Estimated time: 35.85, Accompanist time: 35.78, Playback rate: 0.94, Fuzzy membership: negative_small
